time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.57713993535e-08,1.18349013378e-07,10.0010135521,0.000141293393141,6.28306172476,0.0,7.56153486627e-06,1.08028066704e-05,0.0337843033196,0.00669180461535,-0.00653534160399,0.0,415.4098927104635,414.8365701076045,415.30533076879533,415.8917081279218
0.12000000000000001,5.37185199755e-06,6.13873752414e-06,10.0098122143,0.000642580170052,6.2825935881,0.0,0.000221034744672,0.000244555441928,0.259479679777,0.0114890248791,-0.0104648993993,0.0,475.92727022878114,475.6265861306932,474.27526470621586,474.64338487737035
0.18,3.60689781056e-05,4.16362117418e-05,10.0347250831,0.000932931414893,6.28285415124,0.0,0.000813401546389,0.00101101460249,0.570846040283,-0.0137843075256,0.0240384254214,0.0,499.3142850982849,501.82468700880264,499.53631571474705,497.6902164763211
0.23999999999999996,8.60824441348e-05,0.000123228112737,10.0762936986,0.000949606152934,0.00141316689704,0.0,0.000655369525968,0.00166986993958,0.814632590995,0.0192883480524,0.0376042721568,0.0,480.9191880662323,481.94564474842196,478.77652112361534,481.2858601330635
0.3,9.03526185796e-05,0.00024575942782,10.1267042457,0.00172020597534,0.00344628245752,0.0,-0.000717410101011,0.00251043895951,0.865680828683,-0.00493715209923,0.0251580726194,0.0,421.891474619363,420.81614559846884,423.2371553592792,421.14718414830327
0.36000000000000004,-3.8679099295e-05,0.000434271562137,10.1837858083,0.00112970813042,0.005657140857,0.0,-0.00380001599103,0.00372593409572,1.03689725141,-0.0221073910993,0.053519596433,0.0,459.06898874176,461.3141958667545,459.9240039788084,458.56235719608605
0.4200000000000001,-0.000388683839422,0.000675007134604,10.247868851,6.28274151975,0.00858860091754,0.0,-0.00816465895607,0.00416030485719,1.09914416532,-0.0360872397246,0.0373618641793,0.0,427.24911194231305,425.87100045224275,425.75065831647436,424.55279847154185
0.48000000000000015,-0.00108443365262,0.000906170428725,10.3190239246,6.28117653885,0.0108345183014,0.0,-0.0152786389261,0.00334059974004,1.2725120238,-0.0112272570037,0.0375717405631,0.0,460.3267286510108,460.3439430109481,460.3049148611529,462.26761240905
0.5400000000000001,-0.00220620342373,0.00106799212763,10.3959212955,6.28075270943,0.0133177993291,0.0,-0.0223272280134,0.0020051543207,1.29071050642,0.000179014003365,0.0480956718544,0.0,411.23603348030286,412.1681309256854,411.3839256333323,412.39267710083703
0.6000000000000002,-0.00385654435416,0.00113391256441,10.4781312691,6.28088503288,0.0157880711148,0.0,-0.0329845511151,0.000200889113556,1.4494296524,0.00597818328378,0.0213783169538,0.0,457.46851816827467,455.33713068956683,457.0019449516531,457.4638631469327
0.6600000000000003,-0.00613714349259,0.00110393781113,10.5662575015,6.28125800846,0.0168779439472,0.0,-0.0431457501751,-0.00116593457179,1.48805980914,0.00668822707402,0.0108060683538,0.0,419.08114312513857,418.16123048286084,419.59725777003854,419.65878912106604
0.7200000000000003,-0.0091547599634,0.000987128374331,10.6631135527,6.28150835679,0.0174639956946,0.0,-0.05751255218,-0.00268581766048,1.74012493038,-0.00140524679626,0.0076050373574,0.0,485.0313493709929,484.7907773341205,485.1869101521013,484.57887343756084
0.7800000000000004,-0.012998333041,0.000788159554372,10.7721661265,6.28131787243,0.0187951250011,0.0,-0.0707113661904,-0.00396089679172,1.89471515792,-0.006972226709,0.0416728810655,0.0,456.1340995517966,458.84651587984166,456.4150368165547,455.97061131585946
0.8400000000000004,-0.0176772168242,0.000507107127332,10.8908301891,6.28137625927,0.0214101838286,0.0,-0.0855320479192,-0.00542320894102,2.06046347352,0.0134045597593,0.0471556072248,0.0,461.3611355440091,461.79477588017596,459.12080841383676,460.73457040473505
0.9000000000000005,-0.0232793711995,0.000146410922303,11.0182110727,6.28241217513,0.0246242092842,0.0,-0.101523251334,-0.00650139409843,2.18532767225,0.0240431075986,0.0640166834231,0.0,447.915619057842,449.2864961278149,448.685705938826,449.54845228123173
0.9600000000000005,-0.029872510488,-0.000253769108489,11.151472215,0.000382486863665,0.0282897926695,0.0,-0.118612219111,-0.00670864615249,2.25656170439,0.00738238692174,0.0544928023288,0.0,431.95541662860757,431.15431827182056,434.00605147509293,432.60546298722045
1.0200000000000005,-0.0375756102541,-0.000646918567512,11.2894793251,0.000759402414185,0.0318717089574,0.0,-0.138497281006,-0.00635531330536,2.34348930698,0.00398472108123,0.0684765929342,0.0,437.0509249749302,438.21736248946394,438.0683079124368,437.7855984608797
1.0800000000000005,-0.0467343036937,-0.0010073933416,11.4384326014,0.000942010691316,0.0357020040715,0.0,-0.167285041393,-0.00563387759107,2.62100691799,0.00109105226154,0.0524173656782,0.0,495.5125227417254,494.3330668642753,495.4026736478797,495.1898060291328
1.1400000000000006,-0.0576816552942,-0.00132011518717,11.6031025756,0.00040989733336,0.0384241032297,0.0,-0.197976141238,-0.00478710692701,2.86739115136,-0.0550616794311,0.0250206148563,0.0,487.8681423631554,485.81922586561194,490.2429319166734,486.0526592394626
1.2000000000000006,-0.0703808931578,-0.00161080848991,11.7786756969,6.28089608741,0.0397880876368,0.0,-0.225471020668,-0.0052109255572,2.98473808472,-0.0300507633058,0.0177135743767,0.0,450.74337008830713,450.1524928349714,449.225331650157,451.2475427389374
1.2600000000000007,-0.084780868712,-0.00198012517189,11.9618634439,6.27944604975,0.0413400097123,0.0,-0.254658621484,-0.00727110429958,3.12114787066,-0.0144340288684,0.0385494406647,0.0,456.1445992142798,457.8056001321206,456.1114611823996,457.3568821370518
